crop_id	crop_family	crop_common_name	genus	species	subvariety	additional_description	synonyms	native_status	light_intensity	photoperiod	response_comment	woody_flag	growth_habit	maximum_annual_precipitation_mm	minimum_annual_precipitation_mm	absolute_maximum_temperature_celsius	absolute_minimum_temperature_celsius	optimum_maximum_temperature_celsius	optimum_minimum_temperature_celsius	minimum_growing_days	maximum_growing_days	soil_type_description	soil_texture_requirement_code	soil_drainage_requirement_description	soil_drainage_requirement_code	maximum_soil_ph	minimum_soil_ph	critical_minimum_winter_temperature_celsius	weed_flag
PHLPRA20	Poaceae	Timothy	Phleum	pratense					Bright to clou	Long day	"Winter hardy in cool, moist climates. No drought, high temps, or close grazing."		Perennial	1270	800	26	2	22	15	120	180	"Heavy, deep, and moist soils"	FM	Well	W	7	6	-39	Weed
PIMANI28	Apiaceae	Anise	Pimpinella	anisum			Anisum vulgare		Very bright	"Long day, short day and day neutr"	"Probable origin Asia. Heat requirement is 22-24?C from germination to seed maturation. Does not grow well in dry sandy soils and firm, clayey, cool soils."		Annual	1300	900	30	5	26	18	120	150	Medium	M	Well	W	7	7		
PISSAT43	Fabaceae	Field pea	Pisum	sativum	subsp. sativum v		P. arvense				Cool growing season necessary. High temps more injurious than frosts.		Annual	2500	350	30	4	24	10	55	90	Clay loam	M	Well	W	7	6		
POAPRA57	Poaceae	Kentucky bluegrass	Poa	pratensis					Bright to clea	Long day	"Requires high levels of phosphorous. Best adapted to cool, humid conditions."		Perennial	1524	604	37	5	27	15	120	270	"Medium fine; heavy, limestone soils"	FM	Well	W	8	6	-38	Weed
PSAJUN00	Poaceae	Wild rye - Russian	Psathyrostac	juncea			Elymus junceus		Bright to clea	"Long day, short day and day neutr"	"Cool season bunch grass. Deep rooted, drought resistant, and salt tolerant."		Perennial	900	500	28	2	22	9	90	150	Medium to heavy textured soils	FM	Semi-Exce	W	9	7	-38	
RAPSAT32	Brassicacea	Radish	Raphanus	sativus	var. sativus				Clear	"Long day, short day and day neutr"	Grown as a snack food in many home gardens. Not frost tender. Grows quickly.		Annual	1100	800	30	3	25	12	20	70	"Moist, rich, light soils"	VC	Well	W	7	6		
RHOROS01	Crassulacea	"Roseroot, golden root, Arctic root"	Rhodoila	rosea						Long day	Sandy soils are preferred for harvest. Plant does not tolerant shading.	Herbaceous	Perennial	1500	250	25	4	23	15	20	120	Medium	MMCV	Well	W	8	5	-40	
RIBNIG37	Grossuariac	Currant - Black	Ribes	nigrum					Bright to clea	Long day	Prefers highly fertile soils. No salt tolerance.	Shrub	Perennial	900	700	30	5	25	17	150	180	Deep loam	M	Well	W	7	6	-28	
RIBSAT39	Grossuariac	Currant - Red	Ribes	sativum			R. rubrum		Bright to clea	Long day	Grown predominantly in climates of Northen California and Washington.	Shrub	Perennial	1200	800	25	5	22	10	150	180	Deep loam	M	Well	W	7	6	-34	
ROSOFF43	Lamiaceae	Rosemary	Rosmarinus	officinalis					Intermediate	"Long day, short day and day neutr"	Nerve tonic circulatory and digestive stimulent. Drought-tolerant plant grows in rocky to sandy soils. Not cold-hardy but can tolerate winter temperatures down to 5?C.		Perennial	1400	355	38	8	30	18	120	270	"Medium, light"	MMCV	Well	W	8	6	-19	
RUBIDA52	Rosaceae	Red raspberry; European raspberry	Rubus	idaeus					Bright to clea	"Long day, short day and day neutr"	"Commercial fruit is a hybrid of R. idaeus and R. strigosus. Female tonic. Prefers deep, highly fertile soils with good drainage. Low salt tolerance. Almost same climate as strigosus."	Shrub	Biennial/Perennial	1200	600	28	5	23	17	120	180	Sandy loams to loams	MMC	Well	W	8	6	-34	
SALOFF73	Lamiaceae	Sage	Salvia	officinalis					Very bright	"Long day, short day and day neutr"	Often overwinters in Illinois but can winter kill at -15?C over 5-6 days.		Perennial	1000	500	30	5	26	15	120	240	Medium	M	Well	W	7	5	-30	
SALSCL74	Lamiaceae	Clary sage	Salvia	sclarea					Very bright	"Long day, short day and day neutr"	"Cultivated on almost any soil. A xerophyte. In central Europe, weaker plants frequently killed by the frost."		Biennial/Perennial	1700	900	35	8	30	17	150	180	"Heavy, medium, light"	A	Well to E	W	7	6	-5	Noxious weed:WA
SATHOR80	Lamiaceae	Summer savory	Satureja	hortensis					Very bright	"Long day, short day and day neutr"	"Soils for cultivation should be rich in humus, have good water managemenet ability, and medium firm."		Annual	800	500	30	7	21	14	100	160	Medium	M	Well	W	7	6		
SECCER84	Poaceae	Rye - Fall	Secale	cereale	subsp. cereale	(fall seeded)			Very bright	Short day and day neutral	Grown in more humid areas of eastern and southern U.S.		Winter Annual	1270	381	30	5	20	10	120	270	Medium coarse; rich loams	M	Well	W	8	6	-42	
SECCER85	Poaceae	Rye - Spring	Secale	cereale	subsp. cereale	(spring seeded)			Very bright	Short day and day neutral	Winter annual. Extremely hardy. Often grown where other grains will not grow. Thrive on submarginal areas.		Annual	1000	600	30	5	20	10	90	120	Rich loams	M	Well	W	8	6	-40	
SETITA94	Poaceae	Millet - foxtail ; German millet	Setaria	italica					Bright to clou	Short day and day neutral	Requires warm weather during growing season. Most productive where rainfall is ample but US production mainly in semi-arid regions.		Annual	1524	635	35	5	26	16	60	120	Medium fine; fertile loam	M	Well	W	7	5		Weed
SILMAR98	Asteraceae	Milk thistle	Silybum	marianum			Carduus serrulata		Very bright		Source of silymarin; liver tonic: endrocine.		Annual	600	400	40	18	35	22	110	140	Medium; light	MMCV	Well	W	7	6		"Noxious weed:AR, OR, WA"
SOLTUB10	Solanaceae	Potato; Irish potato	Solanum	tuberosum	subsp. tuberosum				Bright	"Long day, short day and day neutr"	"Tuber production retarded at soil temperatures above 20 C. Require long days, high temps, and high nitrogen. Many soils but can't be sticky. Sandy loams through peat soils."		Annual	800	500	30	7	25	15	90	160	Sandy loams through peat soils	MMCV	Well	W	7	5	-1	
SORXDR17	Poaceae	Sudan grass	Sorghum	x drummondii			S. bicolor subsp. drummondii; S. sudanense		Bright	Short day and day neutral	"Hybrid of cultivated S. bicolor and S. arundinaceum. Close relative of shattercane. Widely adapted, drought resistant, and grows rapidly. Seeded in low precipitation areas."		Annual	900	600	38	12	33	21	90	120	Medium to heavy textured soils	FM	Well	W	7	6	-3	Close relative of noxious weed:PA
SPIOLE22	Chenopodiac	Spinach	Spinacia	oleracea					Bright to clea	"Long day, short day and day neutr"	Prefers shallow soils of high fertility. Low salt tolerance.		Annual	1200	800	27	2	20	13	40	120	"Shallow, light or med textures"	MMCV	Well	W	8	6	-7	
TRIAES81	Poaceae	Wheat - Hard Red Spring	Triticum	aestivum	subsp. aestivum	(CWRS)	T. sativum; T. vulgare		Very bright	Long day and day neutral	"Grown in drier areas of upper Midwest. Require moderate summer temperatures. Adapted to northern half of Great Plains in US. Disease in hard winter wheats limits use to 30"" rainfall line and west."		Annual	760	380	27	5	23	15	90	120	Silt and clay loams	M	Well	W	8	6	-9	
TRIAES82	Poaceae	Wheat - Hard red winter	Triticum	aestivum	subsp. aestivum	(CWRW)	T. sativum; T. vulgare		Very bright	Long day and day neutral	"Winter variety adapted to northern Great Plains of US. Very winter hardy. Disease in hard winter wheats limits use to 30"" rainfall line and west."		Winter Annual	760	380	27	5	23	15	220	290	Silt and clay loams	M	Well	W	8	6	-31	
TRIAES83	Poaceae	Wheat - Hard white winter	Triticum	aestivum	subsp. aestivum		T. sativum; T. vulgare		Very bright	Long day and day neutral	"Adapted to Great Plains in US. Disease in hard winter wheats limits use to 30"" rainfall line and west. Grain may sprout in head pre-harvest in humid conditions. Hard types need abundant nitrogen, high temper"		Winter Annual	760	380	27	5	23	15	220	290	Silt and clay loams	M	Well	W	8	6	-31	
TRIAES84	Poaceae	Wheat - Soft red spring	Triticum	aestivum	subsp. aestivum		T. sativum; T. vulgare		Very bright	Long day and day neutral	Adapted to northern half of Great Plains in US. Grown in drier areas of upper Midwest. Require moderate summer temperatures. Hard or soft grain characteritics dependent on genetics and climate.		Annual	1100	780	27	5	23	15	90	120	Silt and clay loams	M	Well	W	8	6	-9	
TRIAES85	Poaceae	Wheat - Soft red winter	Triticum	aestivum	subsp. aestivum		T. sativum; T. vulgare		Very bright	Long day and day neutral	Adapted to Great Plains in US. Hard/soft grain characteritics dependent on genetics and climate. Very winter hardy.		Winter Annual	1100	780	27	5	23	15	220	290	Silt and clay loams	M	Well	W	8	6	-31	
TRIAES86	Poaceae	Wheat - Soft white winter	Triticum	aestivum	subsp. aestivum		T. sativum; T. vulgare		Very bright	Long day and day neutral	"Hard types need abundant nitrogen, high temperatures early, low rainfall, and a short ripening period."		Winter Annual	1100	780	27	5	23	15	220	290	Silt and clay loams	M	Well	W	8	6	-31	
TRIAES87	Poaceae	Wheat - White spring	Triticum	aestivum	subsp. aestivum		T. sativum; T. vulgare		Very bright	Long day and day neutral	Primarily soft wheat. Grown in more humid areas of eastern and northwestern U.S.		Annual	1100	380	27	5	23	15	90	120	Silt and clay loams	M	Well	W	8	6	-9	
TRIALE51	Fabaceae	Berseem clover; Egyptian clover	Trifolium	alexandrinum					Very bright	Short day	Winter annual in Arizona and southern California.		Annual	900	450	35	3	27	16	90	270	Medium; heavy	FM	Well	W	7	6	0	
TRIAMB52	Fabaceae	Clover - Kura	Trifolium	ambiguum					Bright to clea	Long day	Cold hardy and more productive in cooler rather than warmer climates. Dormant in droughts.		Perennial	1000	800	22	3	17	10	120	180	Medium to heavy	FM	Well	W	7	6	-33	
TRIFOE74	Fabaceae	Fenugreek	Trigonella	foenum-graecum					Bright to clea	Short day	Source of diosgenin. Grown in temperate climates. Not common in US. One month for greens and  3-4 months for seeds.		Annual	1500	600	32	5	28	13	60	120	Gravel and sandy	VC	Well	W	8	7	-15	
TRIHIR60	Fabaceae	Clover - Rose	Trifolium	hirtum					Bright to clou	Long day	Not tolerant to low winter temps. Grown imostly in Texas and Oklahoma.		Annual	914	355	30	5	24	15	90	150	Light to Medium	MMCV	Well	W	7	6	-10	
TRIHYB61	Fabaceae	Clover - Alsike; Clover - Hybrid	Trifolium	hybridum					Bright to clea	Long day	More winter hardy than red clover. Tolerates more acid soils. Cool climate.		Perennial	1524	700	27	4	20	12	90	150	Moist heavy silts or clays	FM	Semi-Poor	P	8	6	-39	
TRIINC62	Fabaceae	Clover - Crimson	Trifolium	incarnatum					Bright to clea	Long day	"Adapted to cool, humid climates where winter temperatures are moderate. Grown in southern US to southern tip of Illinois. Can be grown as annual in Maine."		Winter Annual	1000	700	28	4	22	13	100	170	Sandy or clay soils	A	Well	W	8	6	-10	
TRIPRA65	Fabaceae	Clover - Red ; Clover - Kura	Trifolium	pratense					Bright to clea	Long day	Anthacnose limits cultivation to areas north of Ohio River.   Alterative; Expectorant. Rainfall most important factor in adaptation. High summer temperatures do not injure crop.		Perennial	1651	700	40	7	22	12	120	300	"Loams, silt loams and heavy soil"	M	Semi-Poor	P	8	6	-31	
TRIREP66	Fabaceae	Clover - Ladino; Clover - White; Clover - Dutch white	Trifolium	repens					Bright to clou	"Long day, short day and day neutral"	"Shallow rooted. Withstands greater temperature extremes than red clover. Grown in moist, cool regions."		Perennial	1778	700	26	4	22	14	90	240	Moist clays or loams	FM	Well	W	8	6	-38	Weed
TRITUR95	Poaceae	Wheat - Durum	Triticum	turgidum	subsp. durum		T. durum; T. pyramidale		Bright	"Long day, short day and day neutral"	Spring wheat used mainly in manufacture of semolina. Grown primarily in North Dakota.		Annual	700	500	30	6	25	17	120	180	Rich clay or sand	A	Well	W	7	6		
TRIVES71	Fabaceae	Clover - Arrow-leaf	Trifolium	vesiculosum					Bright to clea	Long day	True clover. No salt tolerance.		Annual	1778	889	26	8	21	15	110	300	All; most textures will work	A	Well	W	8	6	-14	
VACANG12	Ericaceae	Lowbush blueberry; sweet lowbush blueberry	Vaccinium	angustifolium					Bright-Lt shad	"Long day, short day and day neutral"	"Much like highbush, but with more northern climate. 70-90 days for fruit develop. Grown in northeast and Great Lakes region of US and Canada."	Shrub	Perennial	1280	805	30	4	20	13	100	180	Lime-free loams	M	Well	W	5	4	-36	
VACCOR14	Ericaceae	Highbush blueberry	Vaccinium	corymbosum					Bright to clea	Short day	Temperature is major factor in production. Needs considerable heat input for maximum fruit quality. Commercially grown through east and mid-south in North America.	Shrub	Perennial	1280	805	42	7	30	18	100	200	Acid sandy loams	MC	Well	W	5	4	-36	
VICFAB34	Fabaceae	Faba bean	Vicia	faba	var. faba				Bright to clea	"Long day, short day and day neutral"	Cool temperatures above freezing are best. Not drought tolerant.  More tolerant of acid soils than most legumes.		Annual	1000	650	32	5	28	18	100	150	Rich loams	M	Well	W	7	6	-10	
VIGMUN46	Fabaceae	Black gram	Vigna	mungo			Phaseolus mungo		Bright	Short day and day neutral	Similar to mung bean in climatic needs. High salt tolerance.		Annual	900	650	40	8	35	22	60	130	Medium to heavy	FM	Well	W	7	6		
VIGRAD48	Fabaceae	Mung bean; Green gram	Vigna	radiata	var. radiata		Phaseolus aureus; Phaseolus radiatus		Bright	Short day and day neutral	Grown predominantly in Southwestern US. Prefers soils of moderate depth and fertility.		Annual	1473	650	40	8	36	21	90	120	Sandy loams	MC	Well	W	7	6		
VIGUNG52	Fabaceae	Cowpea; Blackeye pea	Vigna	unguiculata	subsp. unguiculata		V. sinensis		Bright to clea	Short day and day neutral	Sensitive to frost in both spring and fall.		Annual	1524	600	40	10	35	20	60	240	Medium textured	M	Well	W	7	6		
ZEAMAY64	Poaceae	Maize; Corn	Zea	mays	subsp. mays				Bright	Short day and day neutral	Many varieties available to suit any climatic condition. Fair salt tolerance.		Annual	1200	700	47	10	33	18	88	140	Medium textured organic soils	M	Well	W	8	6		
